classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed:23
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder,9,2,1,9,15,0,1,8,122.0,6.0,19,0,0,1.0,5,34.0,20.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry,1,1,1,0,0,0,2,0,4.0,1.0,8,0,0,2.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ASTNode,114,1,102,18,190,6,131,249,484.0,20.0,8,0,1,3.0,19,156.0,176.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding,5,6,1,4,10,0,0,61,33.0,5.0,207,0,0,0.0,4,18.0,12.0,0,0,0,0,0,
org::eclipse::jdt::internal::eval::CodeSnippetParser,23,2,1,22,820,0,7,416,673.0,41.0,8,0,2,7.0,1,174.0,115.0,0,0,0,0,0,
org::eclipse::jdt::internal::formatter::Location,2,1,1,1,1,0,12,0,16.0,2.0,8,0,0,12.0,2,4.0,2.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SingleMemberAnnotation,6,4,2,4,78,0,4,96,87.0,13.0,88,2,0,0.0,3,46.0,23.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::parser::NLSTag,2,1,2,0,1,0,4,0,9.0,2.0,8,0,0,4.0,2,2.0,2.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock,11,3,2,9,105,0,9,119,250.0,15.0,40,0,0,9.0,13,50.0,64.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::CompilationUnitElementInfo,4,3,3,1,6,1,3,3,9.0,4.0,17,0,0,1.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::MemberRef,6,2,3,4,105,0,5,95,95.0,15.0,68,3,0,0.0,6,51.0,25.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::Annotation,8,2,4,4,15,0,6,0,42.0,6.0,23,6,0,0.0,5,14.0,10.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference,5,7,1,4,3,0,0,397,42.0,3.0,124,0,0,0.0,3,22.0,14.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext,12,3,4,8,78,0,16,143,387.0,13.0,40,6,0,10.0,10,125.0,93.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::KeyKind,1,2,1,0,136,0,15,2,53.0,17.0,41,1,0,1.0,17,18.0,19.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor,4,2,3,1,3,0,2,0,14.0,3.0,15,0,0,2.0,2,4.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration,63,3,36,33,351,2,30,391,624.0,27.0,42,0,1,26.0,25,172.0,148.0,3,0,0,0,0,
org::eclipse::jdt::core::dom::ASTRequestor,1,1,1,1,6,1,1,0,20.0,4.0,8,0,0,1.0,3,5.0,6.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope,1,2,1,0,1,2,0,5,0.0,2.0,19,0,0,0.0,2,2.0,0.0,0,0,0,0,0,
org::eclipse::jdt::core::search::SearchPattern,36,2,18,23,190,2,12,3,1126.0,20.0,13,2,6,0.0,14,244.0,276.0,1,0,0,0,0,
org::eclipse::jdt::core::jdom::DOMFactory,4,1,1,3,45,0,1,0,52.0,10.0,17,0,0,1.0,10,34.0,17.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::SignatureAttribute,6,3,3,3,3,0,2,1,16.0,3.0,31,2,0,0.0,2,8.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::BinaryMember,18,6,3,15,91,3,0,53,127.0,14.0,170,0,1,0.0,10,61.0,29.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::MessageSend,22,4,5,17,136,5,13,384,494.0,17.0,77,0,0,13.0,17,191.0,166.0,4,0,0,0,0,
org::eclipse::jdt::internal::core::XMLWriter,2,2,2,0,0,0,0,0,3.0,1.0,43,0,0,0.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::parser::JavadocParser,27,2,7,20,210,4,6,133,795.0,21.0,46,4,0,2.0,3,171.0,212.0,3,0,0,0,0,
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference,21,7,1,20,55,0,2,448,591.0,11.0,115,0,0,2.0,11,220.0,156.0,2,0,0,0,0,
